timestamp,probability
2025-01-27T17:00:04Z,0.205
2025-01-27T18:00:03Z,0.13
2025-01-27T19:00:04Z,0.185
2025-01-27T20:00:04Z,0.115
2025-01-27T21:00:04Z,0.12
2025-01-27T22:00:04Z,0.1
2025-01-27T23:00:04Z,0.08
2025-01-28T00:00:04Z,0.065
2025-01-28T01:00:04Z,0.065
2025-01-28T02:00:05Z,0.065
2025-01-28T03:00:04Z,0.065
2025-01-28T04:00:04Z,0.065
2025-01-28T05:00:04Z,0.065
2025-01-28T06:00:04Z,0.065
2025-01-28T07:00:03Z,0.065
2025-01-28T08:00:03Z,0.065
2025-01-28T09:00:04Z,0.065
2025-01-28T10:00:04Z,0.065
2025-01-28T11:00:04Z,0.07
2025-01-28T12:00:04Z,0.07
2025-01-28T13:00:04Z,0.07
2025-01-28T14:00:03Z,0.07
2025-01-28T15:00:03Z,0.065
2025-01-28T16:00:04Z,0.065
2025-01-28T17:00:04Z,0.06
2025-01-28T18:00:04Z,0.055
2025-01-28T19:00:04Z,0.045
2025-01-28T20:00:04Z,0.045
2025-01-28T21:00:04Z,0.045
2025-01-28T22:00:04Z,0.045
2025-01-28T23:00:04Z,0.05
2025-01-29T00:00:04Z,0.05
2025-01-29T01:00:04Z,0.055
2025-01-29T02:00:04Z,0.055
2025-01-29T03:00:04Z,0.055
2025-01-29T04:00:04Z,0.055
2025-01-29T05:00:04Z,0.055
2025-01-29T06:00:04Z,0.055
2025-01-29T07:00:04Z,0.055
2025-01-29T08:00:05Z,0.055
2025-01-29T09:00:04Z,0.055
2025-01-29T10:00:04Z,0.055
2025-01-29T11:00:04Z,0.055
2025-01-29T12:00:04Z,0.055
2025-01-29T13:00:04Z,0.055
2025-01-29T14:00:04Z,0.055
2025-01-29T15:00:04Z,0.055
2025-01-29T16:00:04Z,0.055
2025-01-29T17:00:04Z,0.055
2025-01-29T18:00:04Z,0.055
2025-01-29T19:00:04Z,0.055
2025-01-29T20:00:04Z,0.055
