timestamp,probability
2025-02-26T20:00:05Z,0.5
2025-02-26T21:00:04Z,0.5
2025-02-26T22:00:04Z,0.45
2025-02-26T23:00:04Z,0.455
2025-02-27T00:00:05Z,0.37
2025-02-27T01:00:05Z,0.365
2025-02-27T02:00:05Z,0.375
2025-02-27T03:00:05Z,0.26
2025-02-27T04:00:05Z,0.25
2025-02-27T05:00:04Z,0.315
2025-02-27T06:00:05Z,0.34
2025-02-27T07:00:04Z,0.39
2025-02-27T08:00:05Z,0.285
2025-02-27T09:00:05Z,0.395
2025-02-27T10:00:05Z,0.325
2025-02-27T11:00:04Z,0.345
2025-02-27T12:00:06Z,0.325
2025-02-27T13:00:04Z,0.325
2025-02-27T14:00:05Z,0.325
2025-02-27T15:00:04Z,0.325
2025-02-27T16:00:05Z,0.38
2025-02-27T17:00:04Z,0.39
2025-02-27T18:00:05Z,0.375
2025-02-27T19:00:05Z,0.92
2025-02-27T20:00:05Z,0.9945
2025-02-27T21:00:05Z,0.996
2025-02-27T22:00:05Z,0.998
2025-02-27T23:00:05Z,0.9975
2025-02-28T00:00:05Z,0.9995
