timestamp,probability
2025-02-26T20:00:05Z,0.5
2025-02-26T21:00:04Z,0.5
2025-02-26T22:00:04Z,0.5
2025-02-26T23:00:04Z,0.58
2025-02-27T00:00:05Z,0.355
2025-02-27T01:00:05Z,0.395
2025-02-27T02:00:05Z,0.42
2025-02-27T03:00:05Z,0.42
2025-02-27T04:00:05Z,0.415
2025-02-27T05:00:04Z,0.44
2025-02-27T06:00:05Z,0.44
2025-02-27T07:00:04Z,0.44
2025-02-27T08:00:05Z,0.42
2025-02-27T09:00:05Z,0.415
2025-02-27T10:00:05Z,0.405
2025-02-27T11:00:04Z,0.41
2025-02-27T12:00:06Z,0.42
2025-02-27T13:00:04Z,0.42
2025-02-27T14:00:05Z,0.42
2025-02-27T15:00:04Z,0.425
2025-02-27T16:00:05Z,0.425
2025-02-27T17:00:04Z,0.475
2025-02-27T18:00:05Z,0.535
2025-02-27T19:00:05Z,0.99
2025-02-27T20:00:05Z,0.9955
2025-02-27T21:00:05Z,0.9945
2025-02-27T22:00:05Z,0.9995
2025-02-27T23:00:05Z,0.9995
2025-02-28T00:00:05Z,0.9995
2025-02-28T01:00:05Z,0.9995
